"","geneID","E_Oh43xB73_M_T2_1_B","E_Oh43xB73_M_T2_2_B","E_Oh43xB73_M_T2_3_B","E_Oh43xB73_M_T2_4_B","E_Oh43xB73_M_T2_5_B","E_B73_M_T2_1_B","E_B73_M_T2_2_B","E_B73_M_T2_3_B","E_B73_M_T2_4_B","E_B73_M_T2_5_B","E_Oh43_M_T2_1_O","E_Oh43xB73_M_T2_1_O","E_Oh43xB73_M_T2_2_O","E_Oh43xB73_M_T2_3_O","E_Oh43xB73_M_T2_4_O","E_Oh43xB73_M_T2_5_O","E_Oh43_M_T2_2_O","E_Oh43_M_T2_3_O","E_Oh43_M_T2_4_O","E_Oh43_M_T2_5_O"
"1","Zm00001eb000060",4.3538276319802,5.30094205966722,5.02845918861467,4.40075072903276,5.58384590236586,4.30579880457251,8.74115907537553,3.62384471933149,3.9170986426985,4.27022179296588,4.32503000198002,4.38518489836062,6.0699059743117,5.39018812264748,5.15072653897207,5.37301884955213,4.7693866072541,4.04891697112255,4.45864705863193,4.59729933452512
"2","Zm00001eb000380",4.10427825273348,5.26887955779918,5.07338219282955,3.56850264063456,5.42532020920745,4.74009642278018,5.75009508839263,5.48730851428534,4.15605282357369,5.65128928500602,4.22881468672071,4.75555334830573,3.7990520640186,1.829473168173,1.69129492033478,3.95217572859208,2.30306860303157,4.3592570917347,3.59762347178074,3.33101926918767
"3","Zm00001eb000390",5.41892775994973,6.27039158182814,7.0129071531192,5.83923398643196,4.80838736860289,6.2291592268549,5.90630818083551,5.94851143773071,6.11763772927637,5.86274600611238,6.92286230295222,6.26603763306761,6.30891310949904,6.68745416330057,6.00288107100068,6.48179519546946,4.7693866072541,6.19078568743388,6.6375496561935,6.75456110070168
"4","Zm00001eb000400",3.26084602446286,3.09250770882763,4.34963192756079,3.25949775328274,2.81888463644004,2.85557881075283,2.37725573688798,2.91540698500441,2.6567653074152,2.11845190665011,4.60605015328717,4.75555334830573,5.34157929841936,5.65729219279032,5.77875776158512,4.77933913172987,5.29354582891306,4.7626127859659,5.10185470038904,5.32123824839508
"5","Zm00001eb000420",3.81428864015076,4.84083464643542,4.72484797142133,4.07353718376484,3.33781451126259,3.57268579201664,3.41351452454053,3.49706497759869,4.43162404243218,3.57040068458352,3.85196038132976,3.8856138888701,3.18238070357011,1.829473168173,3.63882750044064,3.95217572859208,3.88803110375272,2.34366023668368,2.37523105044429,2.20902874480906
"6","Zm00001eb000480",8.67887100421713,13.4226119256714,8.98462874019617,8.96513273849253,8.35026894615927,8.74665033636947,8.54673098914435,8.9855021373372,9.42905354298327,8.76341952845271,8.50782480367337,8.01915473981823,8.28951057827653,8.60294209607819,8.53319617579449,8.16539756403694,8.91234456109615,8.71415812690069,8.61863174799658,8.92165689118371
"7","Zm00001eb000490",3.89211890106973,5.59473040585424,4.96116345410506,5.78888656453167,4.26759729355449,4.55795538681987,5.02267123897263,4.88876709770718,4.57643859673793,4.82032264362088,4.72838569621123,3.41995031652129,4.70175486266369,3.41443566889415,5.2589794296241,3.08544225945555,4.49808458543671,4.53434379829279,4.87773139097348,2.97954689868629
"8","Zm00001eb000550",4.73489700475521,5.10683834436449,3.55311434608313,4.93562199758723,4.16007146603956,4.34063182336507,4.26385455667736,4.81492249967475,4.52144169551466,4.25626960205392,3.21213594557408,4.1569159106875,2.73492172659889,4.03110702934265,3.27625742105593,3.85596041333278,3.54699418591766,4.7626127859659,4.52207243877357,3.16596002291717
"9","Zm00001eb000580",9.31639023915767,9.69348272325136,9.7626687562803,9.54429505363975,10.3276684196954,5.41687429898565,7.38340563049544,6.90892385769968,6.70432388287002,5.91815570957255,10.4938773197681,9.44443042134859,10.3489622619381,10.0783495110101,9.56254013737663,10.3339279834075,10.1435980930742,9.82677499593565,10.550156732945,9.65538229299209
"10","Zm00001eb000590",5.72074507947458,6.18208880140002,5.80507239463461,5.8481196480474,6.72596413309461,6.04084808539839,5.83441324225221,5.88519442234659,4.79116808800301,6.07145952867423,6.13901801637007,5.62754573592966,7.11469389605854,6.4962297600578,6.44618242249824,7.03689840749751,5.97995359319376,6.10086905075727,6.15783931016621,5.92246580347902
"11","Zm00001eb000650",4.15823882183904,4.11058677154437,5.34787784293217,5.12882720204172,5.23923612100232,4.34655181149565,4.07742684361027,4.56540682858077,5.38904696761756,4.59732268688694,3.93561831037667,2.72807261188362,2.97592982610268,4.99939816961531,3.74192099340474,0.582941918926363,3.00933739997486,4.08688482132157,4.24970016836044,4.3503845940546
"12","Zm00001eb000690",7.22378604490467,6.40865919118177,5.67299052613179,7.04139754490486,5.83367984361757,10.5482238613249,6.01225985276683,6.23158560327459,5.60295353605103,6.63299977168183,5.6124196781629,6.76234251396837,5.54227664865649,5.81132582146274,5.89516725370043,6.09601150116573,5.70619278076691,5.73298761685663,5.67640058516486,6.09310945750949
"13","Zm00001eb000700",8.5569141129178,8.31124508682097,8.26915701660041,8.25640393676102,7.50307993334781,8.09168762487121,7.97186768817805,8.3374604635057,7.9323676268678,8.30331569882964,8.48370754883436,8.36970756174167,8.22677482292856,8.1621811018136,7.99507566851188,8.22920059891639,8.0480794257538,7.87130722154143,7.94725449545795,7.91760551238849
"14","Zm00001eb000710",6.99569992231308,6.66847291170264,6.67037283208885,6.0051094312945,6.31185731895049,6.89731468708263,6.53416359301361,6.4102457786166,5.62126834946641,6.51328313914436,7.09193288030033,6.41133718621658,6.67636954424378,6.82042802856999,6.06384908829211,5.98666410497737,5.93165803615298,6.32392401862242,6.88679547340171,6.306441246467
"15","Zm00001eb000800",4.71030355045871,4.40689655239655,4.47286871918353,4.07699478051538,4.13549120389694,3.55773542338081,3.75305985418305,3.43670287852249,3.77186321295419,3.38632414691328,3.66851424023383,4.91027594310437,4.22968641834847,4.03110702934265,4.09339336390612,3.39029684098397,3.93778413894982,3.3746871323043,4.04900281812331,2.51388332633748
"16","Zm00001eb000820",6.12770853787968,6.27537180933558,5.77416368804897,5.69095069133238,10.6018917942996,5.90831010862795,5.42546971785824,6.31771787416503,6.22780113842992,5.87501315448997,6.00987286507009,5.99341717840462,6.09566907037678,6.30196093963574,5.87262468504934,6.17788850822014,6.19979933241986,5.91285542154652,5.84709977231982,6.22485371197074
"17","Zm00001eb000840",4.49559566131529,5.00623568821978,3.80544878429826,5.16180956663156,3.9623021216198,4.62945461681396,4.52452189476547,5.0330162957519,4.64103826537139,4.82890351653718,5.80267947855854,5.59748850207348,5.61534011084622,5.6160695300638,6.10310851873933,5.56783502653615,5.93165803615298,6.00497362353495,5.38379306394772,5.32123824839508
